agent,avg,date,feature,floor,guapai,info,price,title
赵玉文,41797,2019.06.30,房屋满五年,中楼层(共5层) 板楼,挂牌230万成交周期12天,南 | 精装,220万,西营后街 2室1厅 52.54平米
张书华,40343,2019.06.30,房屋满五年,低楼层(共15层) 2008年建板塔结合,挂牌370万成交周期15天,南 | 简装,363万,大方居 2室1厅 89.98平米
杨晓晗,27466,2019.06.30,房屋满五年,高楼层(共20层) 2009年建板塔结合,挂牌225万成交周期36天,南 北 | 精装,210万,东亚瑞晶苑 2室1厅 76.46平米
赵东升,41519,2019.06.30,房屋满五年近地铁,高楼层(共19层) 2007年建塔楼,挂牌325万成交周期28天,北 | 精装,315万,时尚街区东区 2室1厅 75.87平米
李登科,19510,2019.06.30,房屋满两年,低楼层(共7层) 2013年建板塔结合,挂牌143万成交周期78天,南 | 精装,132万,金隅自由筑 3房间1卫 67.66平米
周晔,55944,2019.06.29,房屋满两年近地铁,中楼层(共26层) 2015年建板楼,挂牌528万成交周期188天,南 | 简装,513万,K2玉蘭湾 2室1厅 91.61平米
,53070,2019.06.29,挂牌492万成交周期118天,中楼层(共18层) 2014年建板楼,,南 北 | 精装,472万,合生滨江帝景 2室1厅 88.94平米
王焕淞,45787,2019.06.29,房屋满五年,高楼层(共7层) 2003年建板楼,挂牌380万成交周期59天,南 北 | 精装,370万,西上园四区 2室1厅 80.81平米
王金磊,42936,2019.06.29,房屋满五年近地铁,低楼层(共6层) 1998年建板楼,挂牌307万成交周期112天,南 北 | 精装,291万,怡乐北街 2室1厅 67.66平米
史志鑫,41477,2019.06.28,房屋满五年近地铁,中楼层(共7层) 2002年建板楼,挂牌415万成交周期39天,南 北 | 精装,400万,达富苑 2室2厅 96.44平米
石福强,51504,2019.05.28,房屋满两年,中楼层(共13层) 2004年建板塔结合,挂牌575万成交周期24天,南 北 | 简装,560万,西上园一区 2室1厅 108.73平米
李静,39934,2019.05.27,房屋满两年近地铁,中楼层(共20层) 2003年建塔楼,挂牌329万成交周期74天,东南 | 简装,312万,时尚街区西区 2室1厅 78.13平米
崔浩,38185,2019.05.27,房屋满五年,顶层(共6层) 1995年建板楼,挂牌278万成交周期136天,南 北 | 简装,270万,永顺西里 2室1厅 70.71平米
张海云,41833,2019.05.27,房屋满两年,中楼层(共18层) 2013年建板楼,挂牌325万成交周期25天,南 | 精装,316万,金地格林格林 2室1厅 75.54平米
王斌,47386,2019.05.27,房屋满五年近地铁,低楼层(共24层) 2010年建板塔结合,挂牌377万成交周期25天,南 北 | 简装,367万,新城嘉园 2室1厅 77.45平米
石贤宽,52361,2019.05.27,房屋满两年近地铁,低楼层(共27层) 2012年建板塔结合,挂牌480万成交周期52天,南 北 | 精装,464万,华业东方玫瑰D区 2室1厅 88.54平米
樊林,46396,2019.05.27,房屋满五年,中楼层(共15层) 2008年建板塔结合,挂牌422万成交周期20天,南 北 | 精装,411万,金隅七零九零 2室1厅 88.5平米
李延超,49820,2019.05.27,房屋满五年,中楼层(共7层) 2002年建板楼,挂牌410万成交周期32天,南 北 | 精装,400万,幸福艺居 2室1厅 80.29平米
李思雨,30566,2019.05.27,房屋满两年,顶层(共6层) 2000年建板楼,挂牌365万成交周期40天,南 北 | 简装,346万,群芳园 2室1厅 113.2平米
秦宏江,33338,2019.05.27,房屋满两年,中楼层(共16层) 2014年建板楼,挂牌270万成交周期282天,南 | 毛坯,260万,首开国风美仑 2室1厅 77.99平米
杜卫芳,35036,2019.05.26,房屋满两年,低楼层(共15层) 2015年建板楼,挂牌320万成交周期80天,南 | 精装,301万,富力尚悦居 2室1厅 85.77平米
袁悦,41828,2019.05.26,房屋满五年近地铁,中楼层(共20层) 2003年建塔楼,挂牌332万成交周期88天,西南 | 简装,327万,时尚街区西区 2室1厅 78.13平米
李中旭,45156,2019.05.26,房屋满五年,中楼层(共6层) 1990年建板楼,挂牌288万成交周期63天,南 北 | 精装,275万,玉桥北里 2室1厅 60.9平米
郝建军,49315,2019.05.26,房屋满五年,中楼层(共6层) 1991年建板楼,挂牌282万成交周期4天,南 北 | 简装,277万,玉桥北里 2室1厅 56.17平米
周旭,45856,2019.05.30,房屋满五年,低楼层(共16层) 2009年建板楼,挂牌415万成交周期59天,南 北 | 精装,405万,金隅七零九零 2室1厅 88.32平米
侯永超,29902,2019.05.30,房屋满五年,中楼层(共14层) 2011年建板楼,挂牌280万成交周期17天,南 | 精装,280万,合生世界村 2室1厅 93.64平米
李文杰,43058,2019.05.30,房屋满五年,低楼层(共9层) 2005年建板楼,挂牌535万成交周期63天,南 北 | 精装,520万,珠江国际城八区 2室1厅 120.77平米
蔡银龙,33893,2019.05.30,房屋满五年,高楼层(共22层) 2008年建板塔结合,挂牌345万成交周期9天,东 | 精装,305万,大方居 2室1厅 89.99平米
王燕,40269,2019.05.30,房屋满两年,中楼层(共12层) 2015年建暂无数据,挂牌260万成交周期57天,南 | 毛坯,258万,东亚印象台湖 2室1厅 64.07平米
,33933,2019.05.30,挂牌330万成交周期133天,中楼层(共6层) 2001年建板楼,,南 北 | 简装,306万,西马庄园 2室1厅 90.18平米
刘伟强,41153,2019.05.29,房屋满五年近地铁,低楼层(共6层) 2001年建板楼,挂牌386万成交周期39天,南 北 | 简装,377万,芳洲花园 2室1厅 91.61平米
,38056,2019.05.29,挂牌295万成交周期95天,底层(共24层) 2010年建板楼,,南 北 | 精装,292万,玉桥东里 2室1厅 76.73平米
